     laywind   0   0
          30
 end-of-data   0   0
 'START departure coefficients version 1.0'
        128 number of layers
         61 number of level
         100           1           1
 1.4772D+00 1.4866D+00 1.4906D+00 1.4897D+00 1.4838D+00 1.4732D+00 1.4578D+00 1.4393D+00 1.4175D+00 1.3924D+00
 1.3643D+00 1.3341D+00 1.3025D+00 1.2703D+00 1.2382D+00 1.2072D+00 1.1779D+00 1.1512D+00 1.1279D+00 1.1093D+00
 1.0972D+00 1.0944D+00 1.1046D+00 1.1325D+00 1.1713D+00 1.2266D+00 1.2971D+00 1.3789D+00 1.4651D+00 1.5450D+00
 1.6036D+00 1.6260D+00 1.6029D+00 1.5360D+00 1.4396D+00 1.3467D+00 1.2549D+00 1.1788D+00 1.1203D+00 1.1023D+00
 1.0868D+00 1.0734D+00 1.0618D+00 1.0517D+00 1.0428D+00 1.0351D+00 1.0285D+00 1.0228D+00 1.0180D+00 1.0140D+00
 1.0106D+00 1.0079D+00 1.0056D+00 1.0040D+00 1.0031D+00 1.0025D+00 1.0020D+00 1.0016D+00 1.0014D+00 1.0011D+00
 1.0010D+00 1.0008D+00 1.0007D+00 1.0006D+00 1.0006D+00 1.0005D+00 1.0005D+00 1.0006D+00 1.0006D+00 1.0007D+00
 1.0005D+00 1.0003D+00 1.0002D+00 1.0001D+00 1.0001D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00
 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00
 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00
         100           5           1
 2.5567D-02 2.9598D-01 3.3741D-01 3.7849D-01 4.2487D-01 4.7645D-01 5.3354D-01 5.9641D-01 6.6492D-01 7.3947D-01
 8.1992D-01 9.0563D-01 9.9553D-01 1.0879D+00 1.1808D+00 1.2719D+00 1.3588D+00 1.4392D+00 1.5112D+00 1.5732D+00
 1.6258D+00 1.6691D+00 1.7046D+00 1.7339D+00 1.7585D+00 1.7798D+00 1.7981D+00 1.8135D+00 1.8250D+00 1.8314D+00
 1.8320D+00 1.8250D+00 1.8110D+00 1.7903D+00 1.7635D+00 1.7312D+00 1.6943D+00 1.6549D+00 1.6136D+00 1.5707D+00
